Name,Price,CPU,RAM,Storage,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"Lenovo V14 G4 14"" Full HD",6863.0,Ryzen 5 7520U,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Ryzen 5 7520U,8.0
"Acer Chromebook Plus CB514 14"" FHD med Google AI",5490.0,Core i3-N305,8 GB RAM,256 GB SSD,Komplett,8.0,256.0,Core i3-N305,6.0
"MSI Vector 16 HX AI 16"" QHD+",33990.0,Core Ultra 9 275HX,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Core Ultra 9 275HX,7.0
"HP ProBook 440 G11 14"" WUXGA",12738.0,Core U5-125U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U5-125U,9.0
"HP ProBook 440 G11 14"" WUXGA",12738.0,Core U5-125U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core U5-125U,9.0
"HP ProBook 440 G10 14"" Full HD",11199.0,Core i5-1334U,16GB RAM,512GB SSD,Komplett,16.0,512.0,Core i5-1334U,6.0
"HP ENVY x360 Laptop 14-fa0413no 14"" 3K OLED Touch",15990.0,Ryzen 7 8840HS,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,Ryzen 7 8840HS,8.0
"MSI Cyborg 15 A13VF 15,6"" FHD 144 Hz",15990.0,Core i7-13620H,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Core i7-13620H,9.0
"Acer Aspire Go 14"" WUXGA",4290.0,Core i3-N305,8 GB RAM,128 GB SSD,Komplett,8.0,128.0,Core i3-N305,6.0
"Microsoft Surface Pro Copilot+ PC C12 13"" OLED touch (svart)",23490.0,unknown_cpu,16 GB RAM,1 TB SSD,Komplett,16.0,1024.0,unknown_cpu,3.0
"OMEN Transcend Laptop 14-fb0007no 14"" 2,8K OLED 120 Hz",29989.0,Core Ultra 9 185H,32 GB RAM,2 TB SSD,Komplett,32.0,2048.0,Core Ultra 9 185H,1.0
"OMEN Gaming Laptop 16-wd0005no 16,1"" FHD 144 Hz",18990.0,Intel® Core™ i7-13620H Processor,16 GB RAM,512 GB SSD,Komplett,16.0,512.0,Intel® Core™ i7-13620H Processor,9.0
