Name,Price,CPU,RAM,Storage,GPU,Retailer,RAM_GB,Storage_GB,TextFeatures,Cluster
"HP OmniBook X Flip 14 Ultra 7-258V/32/512/OLED 14"" Copilot+ PC",14995,Intel® Core™ Ultra 7 258V processor,"32GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,32.0,32.0,Intel® Core™ Ultra 7 258V processor unknown_gpu,9.0
"HP OmniBook X Flip 16 Ultra 5-226V/16/512/OLED 16"" Copilot+ PC",13995,Intel® Core™ Ultra 5 226V processor,"16GB LPDDR5X RAM, 512GB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ Ultra 5 226V processor unknown_gpu,7.0
"HP OmniBook X Flip 16 Ultra 7-256V/16/1TB/OLED 16"" Copilot+ PC",15995,Intel® Core™ Ultra 7 256V processor,"16GB LPDDR5X RAM, 1TB M.2 SSD",,unknown_gpu,Elgiganten,16.0,16384.0,Intel® Core™ Ultra 7 256V processor unknown_gpu,9.0
"HP ProBook 440 G10 14"" bärbar dator  i5/16/256",12499,Intel® Core™ i5-1335U processor,"16 GB DDR4 RAM, 256 GB SSD lagring",,unknown_gpu,Elgiganten,16.0,16.0,Intel® Core™ i5-1335U processor unknown_gpu,7.0
"HP ZBook Firefly G11 Ultra-7/32/512 16"" bärbar dator",28799,Intel® Core™ Ultra 7 155H processor,"32 GB DDR5 RAM,512 GB SSD",,unknown_gpu,Elgiganten,32.0,32.0,Intel® Core™ Ultra 7 155H processor unknown_gpu,5.0
Lenovo Chromebook Duet 11M889 MTK/8/128/11 2-i-1,4489,unknown_cpu,"8 GB LPDDRX RAM, 128 GB eMMC",,unknown_gpu,Elgiganten,8.0,8.0,unknown_cpu unknown_gpu,3.0
"Lenovo Chromebook IdeaPad 3 Celeron/4/64 15.6"" bärbar dator",3486,Intel® Celeron® N4500 processor,"4 GB DDR4 RAM, 64 GB eMMC",,unknown_gpu,Elgiganten,4.0,4.0,Intel® Celeron® N4500 processor unknown_gpu,3.0
"Lenovo Chromebook IdeaPad 3 Pentium/8/128 15.6"" bärbar dator",3490,Intel® Pentium® N6000 processor,"8 GB DDR4 RAM, 128 GB eMMC",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Pentium® N6000 processor unknown_gpu,3.0
"Lenovo Chromebook IdeaPad Slim 3 4GB/128GB 14"" bärbar dator",2690,unknown_cpu,"4GB LPDDR4X RAM, 128GB eMMC lagring",,unknown_gpu,Elgiganten,4.0,4.0,unknown_cpu unknown_gpu,3.0
"Lenovo Chromebook IdeaPad Slim 3 4GB/64GB 14"" bärbar dator",3489,unknown_cpu,"4 GB LPDDR4X RAM-minne, 64 GB eMMC-lagring",,unknown_gpu,Elgiganten,4.0,4.0,unknown_cpu unknown_gpu,3.0
"Lenovo Chromebook IdeaPad Slim 3 8GB/128GB 14"" bärbar dator",4289,unknown_cpu,"8GB LPDDR4X RAM, 128GB eMMC-lagring",,unknown_gpu,Elgiganten,8.0,8.0,unknown_cpu unknown_gpu,3.0
"Lenovo Chromebook Plus IdeaPad Slim 3 i3/8/128 14"" bärbar dator",3790,Intel® Core™ i3-N305 processor,"8 GB DDR5 RAM, 128 GB eMMC",,unknown_gpu,Elgiganten,8.0,8.0,Intel® Core™ i3-N305 processor unknown_gpu,3.0
